name,num_downloads,owners_and_repo
supports-color,221147395,chalk/supports-color
semver,212597945,npm/node-semver
ansi-styles,211668847,chalk/ansi-styles
chalk,208626775,chalk/chalk
debug,198328911,visionmedia/debug
ms,170883293,zeit/ms
has-flag,161276128,sindresorhus/has-flag
color-name,153886945,colorjs/color-name
tslib,153772306,microsoft/tslib
color-convert,152495791,Qix-/color-convert
source-map,149752079,mozilla/source-map
kind-of,132973147,jonschlinkert/kind-of
ansi-regex,123789180,chalk/ansi-regex
strip-ansi,121224861,chalk/strip-ansi
type-fest,118361812,sindresorhus/type-fest
type-fest,117297019,sindresorhus/type-fest
readable-stream,105916354,nodejs/readable-stream
commander,99713466,tj/commander.js
locate-path,99172792,sindresorhus/locate-path
p-locate,98691618,sindresorhus/p-locate
find-up,97985296,sindresorhus/find-up
string-width,90303185,sindresorhus/string-width
p-limit,89426665,sindresorhus/p-limit
schema-utils,88165185,webpack/schema-utils
glob,86582616,isaacs/node-glob
safe-buffer,86355324,feross/safe-buffer
escape-string-regexp,85096308,sindresorhus/escape-string-regexp
string_decoder,81348370,nodejs/string_decoder
lru-cache,81174772,isaacs/node-lru-cache
minimatch,79961857,isaacs/minimatch
is-fullwidth-code-point,77936456,sindresorhus/is-fullwidth-code-point
ajv,77924922,epoberezkin/ajv
@types/node,77799320,DefinitelyTyped/DefinitelyTyped
acorn,76637732,acornjs/acorn
yargs-parser,75057191,yargs/yargs-parser
qs,73236188,ljharb/qs
extend-shallow,73036694,jonschlinkert/extend-shallow
yargs,72916178,yargs/yargs
define-property,72103625,jonschlinkert/define-property
json-schema-traverse,71932746,epoberezkin/json-schema-traverse
camelcase,71849683,sindresorhus/camelcase
mkdirp,70494550,substack/node-mkdirp
get-stream,70462823,sindresorhus/get-stream
uuid,69717982,kelektiv/node-uuid
fs-extra,69632303,jprichardson/node-fs-extra
inherits,69601705,isaacs/inherits
isarray,69260794,juliangruber/isarray
yallist,69200855,isaacs/yallist
postcss,69165723,postcss/postcss
path-exists,68361781,sindresorhus/path-exists
rimraf,67730816,isaacs/rimraf
glob-parent,67445017,gulpjs/glob-parent
punycode,67327925,bestiejs/punycode.js
is-number,67059045,jonschlinkert/is-number
estraverse,66660435,estools/estraverse
wrap-ansi,65726619,chalk/wrap-ansi
@jest/types,65336943,facebook/jest
pify,64766675,sindresorhus/pify
emoji-regex,64300761,mathiasbynens/emoji-regex
react-is,63887735,facebook/react
json5,63530171,json5/json5
which,62957373,npm/node-which
eslint-visitor-keys,61963482,eslint/eslint-visitor-keys
resolve-from,61397030,sindresorhus/resolve-from
cliui,60579080,yargs/cliui
ws,60460848,websockets/ws
micromatch,59888112,micromatch/micromatch
fill-range,59871106,jonschlinkert/fill-range
cross-spawn,59412290,moxystudio/node-cross-spawn
braces,59402450,micromatch/braces
execa,58764936,sindresorhus/execa
brace-expansion,58130505,juliangruber/brace-expansion
resolve,57954596,browserify/resolve
@babel/types,57269385,babel/babel
globals,57014224,sindresorhus/globals
webidl-conversions,57013315,jsdom/webidl-conversions
@babel/code-frame,56757977,babel/babel
to-regex-range,56593688,micromatch/to-regex-range
make-dir,56464501,sindresorhus/make-dir
is-glob,56157611,micromatch/is-glob
universalify,56121584,RyanZim/universalify
@types/yargs,55747506,DefinitelyTyped/DefinitelyTyped
form-data,55238302,form-data/form-data
loader-utils,55067728,webpack/loader-utils
is-extendable,53900327,jonschlinkert/is-extendable
js-yaml,53262861,nodeca/js-yaml
path-key,53222984,sindresorhus/path-key
is-stream,52955340,sindresorhus/is-stream
eslint-scope,52579677,eslint/eslint-scope
globby,52527641,sindresorhus/globby
strip-bom,52211426,sindresorhus/strip-bom
slash,51809721,sindresorhus/slash
whatwg-url,51603310,jsdom/whatwg-url
minimist,51007427,substack/minimist
@babel/parser,50660932,babel/babel
pretty-format,50391027,facebook/jest
argparse,50022090,nodeca/argparse
http-errors,50008887,jshttp/http-errors
@babel/helper-plugin-utils,49975447,babel/babel
y18n,49880896,yargs/y18n
shebang-command,49802743,kevva/shebang-command
iconv-lite,49749249,ashtuchkin/iconv-lite
mime,49673840,broofa/node-mime
shebang-regex,49668202,sindresorhus/shebang-regex
pkg-dir,49231460,sindresorhus/pkg-dir
parse-json,49004663,sindresorhus/parse-json
bytes,48830744,visionmedia/bytes.js
postcss-value-parser,48822378,TrySound/postcss-value-parser
p-try,48524720,sindresorhus/p-try
jest-worker,48401060,facebook/jest
normalize-path,48081643,jonschlinkert/normalize-path
@babel/runtime,47684730,babel/babel
anymatch,47370903,micromatch/anymatch
tr46,47305042,
async,47206457,caolan/async
isobject,46591265,jonschlinkert/isobject
is-accessor-descriptor,46583431,jonschlinkert/is-accessor-descriptor
is-data-descriptor,46580961,jonschlinkert/is-data-descriptor
ignore,46513019,kaelzhang/node-ignore
jsonfile,46489293,jprichardson/node-jsonfile
@babel/generator,46238338,babel/babel
path-type,46177530,sindresorhus/path-type
mime-db,45880735,jshttp/mime-db
@babel/core,45742501,babel/babel
mimic-fn,45362942,sindresorhus/mimic-fn
jest-util,45126166,facebook/jest
mime-types,44833551,jshttp/mime-types
is-descriptor,44621995,jonschlinkert/is-descriptor
depd,44439651,dougwilson/nodejs-depd
@babel/traverse,43886653,babel/babel
jsesc,43761285,mathiasbynens/jsesc
@babel/highlight,43552933,babel/babel
npm-run-path,43320953,sindresorhus/npm-run-path
fast-deep-equal,43214865,epoberezkin/fast-deep-equal
graceful-fs,43193674,isaacs/node-graceful-fs
lodash,43113884,lodash/lodash
buffer,43078901,feross/buffer
balanced-match,43069146,juliangruber/balanced-match
ci-info,42787405,watson/ci-info
chokidar,42783188,paulmillr/chokidar
core-js,42652591,zloirock/core-js
statuses,42174266,jshttp/statuses
doctrine,41897249,eslint/doctrine
p-map,41486303,sindresorhus/p-map
setprototypeof,41360739,wesleytodd/setprototypeof
strip-json-comments,41317564,sindresorhus/strip-json-comments
fast-glob,40922101,mrmlnc/fast-glob
has-symbols,40892143,inspect-js/has-symbols
regenerator-runtime,40730415,facebook/regenerator
core-util-is,40695960,isaacs/core-util-is
@babel/template,40387960,babel/babel
onetime,40008315,sindresorhus/onetime
path-to-regexp,39982642,pillarjs/path-to-regexp
readdirp,39519008,paulmillr/readdirp
rxjs,39416106,ReactiveX/rxjs
concat-map,39359303,substack/node-concat-map
type-check,39230176,gkz/type-check
cookie,39094101,jshttp/cookie
cosmiconfig,39067711,davidtheclark/cosmiconfig
levn,38906761,gkz/levn
prelude-ls,38889988,gkz/prelude-ls
source-map-support,38852229,evanw/node-source-map-support
picomatch,38789211,micromatch/picomatch
optionator,38625029,gkz/optionator
jest-get-type,38424452,facebook/jest
@babel/helper-function-name,38365351,babel/babel
is-arrayish,38220141,Qix-/node-is-arrayish
bn.js,38017327,indutny/bn.js
write-file-atomic,37773438,npm/write-file-atomic
is-wsl,37732914,sindresorhus/is-wsl
is-extglob,37701225,micromatch/is-extglob
binary-extensions,37651462,sindresorhus/binary-extensions
browserslist,37649084,browserslist/browserslist
once,37623947,isaacs/once
caniuse-lite,37355381,ben-eb/caniuse-lite
tough-cookie,37281083,salesforce/tough-cookie
is-buffer,37009947,feross/is-buffer
is-binary-path,36895398,sindresorhus/is-binary-path
hosted-git-info,36892751,npm/hosted-git-info
import-fresh,36711719,sindresorhus/import-fresh
